127.0.0.1 - - [01/Jun/2021:10:01:19 +0900] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:10:01:20 +0900] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:10:01:23 +0900] "GET /trang-chu HTTP/1.1" 200 9178
0:0:0:0:0:0:0:1 - - [01/Jun/2021:10:01:23 +0900] "GET /template/product_detail.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:10:01:23 +0900] "GET /template/thinkview_base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:10:01:23 +0900] "GET /template/cart.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:10:01:23 +0900] "GET /template/sign.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:10:01:23 +0900] "GET /template/thinkview_detail.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:10:01:23 +0900] "GET /template/web/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:10:01:23 +0900] "GET /template/thinkview_rps_library.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:10:01:23 +0900] "GET /template/thinkview_rps.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:10:01:24 +0900] "GET /template/web/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:10:01:24 +0900] "GET /template/web/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:10:01:24 +0900] "GET /template/image/%E6%A2%B3%EC%A6%9Cpod.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:10:01:24 +0900] "GET /template/image/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:10:01:24 +0900] "GET /template/image/banner.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:10:01:24 +0900] "GET /template/image/iphone.jpg HTTP/1.1" 200 3671
0:0:0:0:0:0:0:1 - - [01/Jun/2021:10:01:24 +0900] "GET /template/image/mac.jpg HTTP/1.1" 200 38750
0:0:0:0:0:0:0:1 - - [01/Jun/2021:10:01:24 +0900] "GET /favicon.ico HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [01/Jun/2021:10:01:36 +0900] "GET /dang-nhap?action=login HTTP/1.1" 200 4504
0:0:0:0:0:0:0:1 - - [01/Jun/2021:10:08:08 +0900] "GET /dang-nhap?action=login HTTP/1.1" 200 4504
